WEEK,Recording Dates,Tech & Full Dress Camera Reharsal, Airing Dates,EPISODE, CONTESTANTS,FORMAT,REMARKS,Performances,Eliminations,Golden mic,Going forward,Phase
Week 1,Wednesday 17 September 2025,,Saturday 27 September 2025,Episode 1,Audition, Sukkar    ,"Across six audition episodes, we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. 
Each judge will have 1 Golden Mic each. 
In addition to the Golden Mics, approximately 30 more participants will be shortlisted for the Piano Round.
(15 boys + 15 girls)",20,16,,4,Judges Audtion
Week 1,Thursday 18 September 2025,,Sunday 28 September 2025,Episode 2,Audition, Multan,"Across six audition episodes, we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. 
Each judge will have 1 Golden Mic each. 
In addition to the Golden Mics, approximately 30 more participants will be shortlisted for the Piano Round.
(15 boys + 15 girls)",20,14,1,5,Judges Audtion
Week 2,Friday 19 September 2025,,Saturday 4 October 2025,Episode 3,Audition, Lahore,"Across six audition episodes, we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. 
Each judge will have 1 Golden Mic each. 
In addition to the Golden Mics, approximately 30 more participants will be shortlisted for the Piano Round.
(15 boys + 15 girls)",20,15,1,6,Judges Audtion
Week 2,Saturday 20 September 2025,,Sunday 5 October 2025,Episode 4,Audition, Islamabad,"Across six audition episodes, we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. 
Each judge will have 1 Golden Mic each. 
In addition to the Golden Mics, approximately 30 more participants will be shortlisted for the Piano Round.
(15 boys + 15 girls)",20,15,1,6,Judges Audtion
Week 3,Sunday 21 September 2025,,Saturday 11 October 2025,Episode 5,Audition,Karachi,"Across six audition episodes, we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. 
Each judge will have 1 Golden Mic each. 
In addition to the Golden Mics, approximately 30 more participants will be shortlisted for the Piano Round.
(15 boys + 15 girls)",20,14,1,5,Judges Audtion
Week 3,Monday 22 September 2025,,Sunday 12 October 2025,Episode 6,Audition,One audition for participants from across Pakistan will be held in Karachi,"Can run a promotional campaign stating that we've received such an amazing response that we're adding one more audition in Karachi, open to participants from across Pakistan",20,,,4,Judges Audtion
Week 4,Monday 6 October 2025,,Saturday 18 October 2025,Episode 7,5 BOYS,5 boys perform in  piano round ,"Each act gets approximately 10 minutes, which includes pre-chat, performance and post-chat. Songs must be limited to 3–4 minutes.

Each week, one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. 

Some contestants will be eliminated, while others will be given another opportunity during the final week of the Piano Round.",5,2,,3,Workshop Round
Week 4,Tuesday 7 October 2025,,Sunday 19 October 2025,Episode 8,5 GIRLS ,5 girls perform in  piano round ,"Each act gets approximately 10 minutes, which includes pre-chat, performance and post-chat. Songs must be limited to 3–4 minutes.

Each week, one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. 

Some contestants will be eliminated, while others will be given another opportunity during the final week of the Piano Round.",5,1,,4,Workshop Round
Week 5,Wednesday 8 October 2025,,Saturday 25 October 2025,Episode 9,5 BOYS,5 boys perform in  piano round ,"Each act gets approximately 10 minutes, which includes pre-chat, performance and post-chat. Songs must be limited to 3–4 minutes.

Each week, one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. 

Some contestants will be eliminated, while others will be given another opportunity during the final week of the Piano Round.",5,1,,4,Workshop Round
Week 5,Thursday 9 October 2025,,Sunday 26 October 2025,Episode 10,5 GIRLS ,5 girls perform in  piano round ,"Each act gets approximately 10 minutes, which includes pre-chat, performance and post-chat. Songs must be limited to 3–4 minutes.

Each week, one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. 

Some contestants will be eliminated, while others will be given another opportunity during the final week of the Piano Round.",5,2,1,3,Workshop Round
Week 6,Friday 10 October 2025,,Saturday 1 November 2025,Episode 11,5 BOYS,5 boys perform in  piano round ,"Each act gets approximately 10 minutes, which includes pre-chat, performance and post-chat. Songs must be limited to 3–4 minutes.

Each week, one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. 

Some contestants will be eliminated, while others will be given another opportunity during the final week of the Piano Round.",5,2,,3,Workshop Round
Week 6,Saturday 11 October 2025,,Sunday 2 November 2025,Episode 12,5 GIRLS ,5 girls perform in  piano round ,"Each act gets approximately 10 minutes, which includes pre-chat, performance and post-chat. Songs must be limited to 3–4 minutes.

Each week, one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. 

Some contestants will be eliminated, while others will be given another opportunity during the final week of the Piano Round.",5,2,1,3,Workshop Round
Week 7,Monday 13 October 2025,,Saturday 8 November 2025,Episode 13,10,20 People (10 boys + 10 girls),"Six Golden Mics are given during the Auditions and Piano Round, leaving ten spots still open in the Top 16.
 Twenty contestants will perform again for a chance to earn those remaining spots. 

We get our Top 16(8 Boys + 8Girls) at the end of Episode 14. ",10,5,,5,Workshop Round
Week 7,Tuesday 14 October 2025,,Sunday 9 November 2025,Episode 14,10,,"Six Golden Mics are given during the Auditions and Piano Round, leaving ten spots still open in the Top 16.
 Twenty contestants will perform again for a chance to earn those remaining spots. 

We get our Top 16(8 Boys + 8Girls) at the end of Episode 14. ",10,5,,5,Workshop Round
Week 8,Monday 10 November 2025,,Saturday 15 November 2025,Episode 15,8 solos,"SHOWCASE EPISODE 

Top 16 Contestants perform for the first time in an Introduction episode","No scoring, No voting",,,,,Gala
Week 8,Tuesday 11 November 2025,,Sunday 16 November 2025,Episode 16,8 solos,"SHOWCASE EPISODE 

Top 16 Contestants perform for the first time in an Introduction episode","No scoring, No voting",,,,,Gala
Week 9,Wednesday 12 November 2025,,Saturday 22 November 2025,Episode 17,8 solos,"Top 16 contestants performs

The Top 16 contestants perform for the audience.
There will be no judge scores in this round — public voting begins.
Voting lines will remain open for a limited time.
","No scoring, Public voting begins ",,,,,Gala
Week 9,Thursday 13 November 2025,,Sunday 23 November 2025,Episode 18,8 solos,"Top 16 contestants performs

The Top 16 contestants perform for the audience.
There will be no judge scores in this round — public voting begins.
Voting lines will remain open for a limited time.
","No scoring, Public voting begins ",,,,,Gala
Week 10,Tuesday 25 November 2025,,Saturday 29 November 2025,Episode 19,8 solos,"Judges score for all 16 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 9) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",16-1 = 15 contestants proceed to the next round ,,,,,Gala
Week 10,Wednesday 26 November 2025,,Sunday 30 November 2025,Episode 20,8 solos,"Judges score for all 16 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 9) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",16-1 = 15 contestants proceed to the next round ,,,,,Gala
Week 11,Tuesday 2 December 2025,,Saturday 6 December 2025,Episode 21,7 solos,"Judges score for all 15 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 10) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",15-1 = 14 contestants proceed to the next round ,,,,,Gala
Week 11,Wednesday 3 December 2025,,Sunday 7 December 2025,Episode 22,8 solos,"Judges score for all 15 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 10) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",15-1 = 14 contestants proceed to the next round ,,,,,Gala
Week 12,Tuesday 9 December 2025,,Saturday 13 December 2025,Episode 23,7 solos,"Judges score for all 14 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 11) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",14- 1= 13 contestants proceed to the next round ,,,,,Gala
Week 12,Wednesday 10 December 2025,,Sunday 14 December 2025,Episode 24,7 solos,"Judges score for all 14 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 11) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",14- 1= 13 contestants proceed to the next round ,,,,,Gala
Week 13,Tuesday 16 December 2025,,Saturday 20 December 2025,Episode 25,6 solos,"Judges score for all 13 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 12) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",13-1 = 12 contestants proceed to the next round ,,,,,Gala
Week 13,Wednesday 17 December 2025,,Sunday 21 December 2025,Episode 26,7 solos,"Judges score for all 13 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 12) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",13-1 = 12 contestants proceed to the next round ,,,,,Gala
Week 14,Tuesday 23 December 2025,,Saturday 27 December 2025,Episode 27,6 solos,"Judges score for all 12 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 13) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",12- 1= 11 contestants proceed to the next round ,,,,,Gala
Week 14,Wednesday 24 December 2025,,Sunday 28 December 2025,Episode 28,6 solos,"Judges score for all 12 contestants. 
At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 13) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",12- 1= 11 contestants proceed to the next round ,,,,,Gala
