episode_id,episode_no,phase,city,week,record_start,record_end,record_venue,air_start,air_end,channel,performances_planned,performances_locked,golden_mics_available,golden_mics_used,voting_enabled,format_summary,notes,updated_by
ep-100,1,Judges Audition,Sukkar,Week 1,2025-09-17 10:00:00,2025-09-17 18:00:00,Sukkar Studio,2025-09-27 20:00:00,2025-09-27 22:00:00,Geo TV,20,0,3,0,false,"Across six audition episodes we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. Each judge will have 1 Golden Mic each. In addition to the Golden Mics approximately 30 more participants will be shortlisted for the Piano Round. (15 boys + 15 girls)",16 eliminations 4 going forward,admin@pakistanidol.com
ep-101,2,Judges Audition,Multan,Week 1,2025-09-18 10:00:00,2025-09-18 18:00:00,Multan Studio,2025-09-28 20:00:00,2025-09-28 22:00:00,Geo TV,20,0,3,1,false,"Across six audition episodes we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. Each judge will have 1 Golden Mic each. In addition to the Golden Mics approximately 30 more participants will be shortlisted for the Piano Round. (15 boys + 15 girls)",14 eliminations 1 golden mic 5 going forward,admin@pakistanidol.com
ep-102,3,Judges Audition,Lahore,Week 2,2025-09-19 10:00:00,2025-09-19 18:00:00,Lahore Studio,2025-10-04 20:00:00,2025-10-04 22:00:00,Geo TV,20,0,3,1,false,"Across six audition episodes we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. Each judge will have 1 Golden Mic each. In addition to the Golden Mics approximately 30 more participants will be shortlisted for the Piano Round. (15 boys + 15 girls)",15 eliminations 1 golden mic 6 going forward,admin@pakistanidol.com
ep-103,4,Judges Audition,Islamabad,Week 2,2025-09-20 10:00:00,2025-09-20 18:00:00,Islamabad Studio,2025-10-05 20:00:00,2025-10-05 22:00:00,Geo TV,20,0,3,1,false,"Across six audition episodes we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. Each judge will have 1 Golden Mic each. In addition to the Golden Mics approximately 30 more participants will be shortlisted for the Piano Round. (15 boys + 15 girls)",15 eliminations 1 golden mic 6 going forward,admin@pakistanidol.com
ep-104,5,Judges Audition,Karachi,Week 3,2025-09-21 10:00:00,2025-09-21 18:00:00,Karachi Studio,2025-10-11 20:00:00,2025-10-11 22:00:00,Geo TV,20,0,3,1,false,"Across six audition episodes we will have three Golden Mics. A Golden Mic means a direct entry into the Top 16. Each judge will have 1 Golden Mic each. In addition to the Golden Mics approximately 30 more participants will be shortlisted for the Piano Round. (15 boys + 15 girls)",14 eliminations 1 golden mic 5 going forward,admin@pakistanidol.com
ep-105,6,Judges Audition,Karachi,Week 3,2025-09-22 10:00:00,2025-09-22 18:00:00,Karachi Studio,2025-10-12 20:00:00,2025-10-12 22:00:00,Geo TV,20,0,3,0,false,"Can run a promotional campaign stating that we've received such an amazing response that we're adding one more audition in Karachi open to participants from across Pakistan",4 going forward,admin@pakistanidol.com
ep-106,7,Workshop Round,Studio,Week 4,2025-10-06 10:00:00,2025-10-06 18:00:00,Studio,2025-10-18 20:00:00,2025-10-18 22:00:00,Geo TV,5,0,1,0,false,"Each act gets approximately 10 minutes which includes pre-chat performance and post-chat. Songs must be limited to 3–4 minutes. Each week one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. Some contestants will be eliminated while others will be given another opportunity during the final week of the Piano Round.",5 boys perform in piano round 2 eliminations 3 going forward,admin@pakistanidol.com
ep-107,8,Workshop Round,Studio,Week 4,2025-10-07 10:00:00,2025-10-07 18:00:00,Studio,2025-10-19 20:00:00,2025-10-19 22:00:00,Geo TV,5,0,1,0,false,"Each act gets approximately 10 minutes which includes pre-chat performance and post-chat. Songs must be limited to 3–4 minutes. Each week one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. Some contestants will be eliminated while others will be given another opportunity during the final week of the Piano Round.",5 girls perform in piano round 1 elimination 4 going forward,admin@pakistanidol.com
ep-108,9,Workshop Round,Studio,Week 5,2025-10-08 10:00:00,2025-10-08 18:00:00,Studio,2025-10-25 20:00:00,2025-10-25 22:00:00,Geo TV,5,0,1,0,false,"Each act gets approximately 10 minutes which includes pre-chat performance and post-chat. Songs must be limited to 3–4 minutes. Each week one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. Some contestants will be eliminated while others will be given another opportunity during the final week of the Piano Round.",5 boys perform in piano round 1 elimination 4 going forward,admin@pakistanidol.com
ep-109,10,Workshop Round,Studio,Week 5,2025-10-09 10:00:00,2025-10-09 18:00:00,Studio,2025-10-26 20:00:00,2025-10-26 22:00:00,Geo TV,5,0,1,1,false,"Each act gets approximately 10 minutes which includes pre-chat performance and post-chat. Songs must be limited to 3–4 minutes. Each week one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. Some contestants will be eliminated while others will be given another opportunity during the final week of the Piano Round.",5 girls perform in piano round 2 eliminations 1 golden mic 3 going forward,admin@pakistanidol.com
